Territorio;Nivel educativo;Sexo;Titularidad del centro;Año/Curso;value
España;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;3920
España;FP Básica;Hombres;Todos los centros;2018-2019;437
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;1937
España;FP Básica;Total;Centros privados;2018-2019;263
España;FP Grado Superior;Total;Centros públicos;2018-2019;11921
España;FP Grado Superior;Mujeres;Centros públicos;2016-2017;3787
España;Total FP;Total;Centros privados;2017-2018;6566
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;15834
España;Total FP;Hombres;Centros públicos;2018-2019;11724
España;FP Grado Superior;Mujeres;Todos los centros;2016-2017;5121
España;FP Básica;Mujeres;Todos los centros;2016-2017;74
España;Total FP;Total;Centros privados;2016-2017;6003
España;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;18533
España;FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;5458
España;FP Grado Medio;Total;Centros públicos;2017-2018;5729
España;Total FP;Mujeres;Centros privados;2016-2017;2176
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;22244
España;FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;1120
España;FP Básica y Grado Medio;Total;Centros privados;2016-2017;2480
España;FP Básica;Hombres;Centros privados;2017-2018;129
España;Total FP;Mujeres;Centros privados;2018-2019;3003
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;8495
España;FP Básica;Total;Centros públicos;2018-2019;249
España;FP Grado Medio;Hombres;Todos los centros;2018-2019;6049
España;Total FP;Hombres;Centros privados;2018-2019;4555
España;FP Básica;Total;Todos los centros;2016-2017;414
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;9986
España;FP Grado Medio;Mujeres;Centros privados;2017-2018;975
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;25828
España;FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;1538
España;FP Grado Superior;Mujeres;Centros privados;2017-2018;1580
España;FP Grado Medio;Mujeres;Centros públicos;2017-2018;1988
España;Total FP;Hombres;Todos los centros;2017-2018;13921
España;FP Básica;Total;Todos los centros;2018-2019;512
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;2977
España;FP Grado Superior;Hombres;Centros privados;2018-2019;2596
España;Total FP;Mujeres;Todos los centros;2018-2019;10061
España;FP Grado Superior;Mujeres;Todos los centros;2017-2018;5668
España;FP Básica;Total;Todos los centros;2017-2018;372
España;FP Básica y Grado Medio;Total;Todos los centros;2016-2017;7836
España;FP Grado Medio;Hombres;Centros privados;2017-2018;1409
España;FP Básica y Grado Medio;Total;Centros públicos;2016-2017;5356
España;FP Básica;Hombres;Centros privados;2016-2017;205
España;FP Grado Superior;Hombres;Centros públicos;2018-2019;7197
España;FP Grado Superior;Mujeres;Centros privados;2016-2017;1334
España;FP Básica;Hombres;Centros públicos;2017-2018;179
España;Total FP;Hombres;Centros privados;2017-2018;3984
España;FP Grado Superior;Total;Centros privados;2017-2018;4026
España;FP Grado Superior;Hombres;Centros privados;2016-2017;2189
España;Total FP;Mujeres;Todos los centros;2016-2017;7900
España;FP Básica y Grado Medio;Total;Centros privados;2017-2018;2540
España;FP Básica;Mujeres;Todos los centros;2017-2018;64
España;FP Básica;Mujeres;Centros públicos;2016-2017;38
España;Total FP;Total;Centros privados;2018-2019;7558
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;2140
España;FP Grado Superior;Mujeres;Centros privados;2018-2019;1883
España;FP Grado Medio;Mujeres;Centros públicos;2018-2019;2285
España;Total FP;Hombres;Centros públicos;2016-2017;8630
España;FP Grado Medio;Mujeres;Centros públicos;2016-2017;1899
España;FP Grado Medio;Hombres;Centros privados;2016-2017;1433
España;FP Grado Medio;Hombres;Centros públicos;2018-2019;4327
España;FP Grado Medio;Total;Centros públicos;2016-2017;5183
España;FP Grado Superior;Total;Todos los centros;2016-2017;12521
España;FP Básica;Total;Centros públicos;2017-2018;216
España;FP Grado Medio;Total;Todos los centros;2016-2017;7422
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;13613
España;Total FP;Mujeres;Centros públicos;2017-2018;6113
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;12117
España;FP Básica;Mujeres;Centros públicos;2017-2018;37
España;FP Grado Medio;Total;Centros públicos;2018-2019;6612
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;6076
España;FP Grado Medio;Total;Centros privados;2018-2019;2816
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;2025
España;FP Básica;Total;Centros privados;2017-2018;156
España;FP Grado Medio;Hombres;Centros públicos;2016-2017;3284
España;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;4527
España;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;6861
España;FP Básica;Total;Centros privados;2016-2017;241
España;FP Grado Superior;Mujeres;Todos los centros;2018-2019;6607
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;3855
España;FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;842
España;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;1959
España;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;15842
España;FP Básica;Hombres;Centros públicos;2016-2017;135
España;FP Grado Superior;Hombres;Todos los centros;2016-2017;7400
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;5762
España;FP Básica;Hombres;Todos los centros;2016-2017;340
España;FP Grado Medio;Total;Centros privados;2016-2017;2239
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;7295
España;FP Grado Medio;Hombres;Todos los centros;2017-2018;5150
España;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;9940
España;FP Grado Medio;Mujeres;Centros privados;2018-2019;1094
España;FP Grado Superior;Total;Centros privados;2018-2019;4479
España;FP Grado Medio;Total;Todos los centros;2017-2018;8113
España;FP Básica y Grado Medio;Total;Centros privados;2018-2019;3079
España;FP Grado Superior;Hombres;Centros públicos;2016-2017;5211
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;11524
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;7009
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;7826
España;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;19943
España;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;5057
España;FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;1002
España;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;5686
España;FP Grado Medio;Hombres;Todos los centros;2016-2017;4717
España;FP Básica;Hombres;Centros públicos;2018-2019;200
España;FP Básica;Hombres;Centros privados;2018-2019;237
España;Total FP;Mujeres;Centros públicos;2018-2019;7058
España;FP Grado Superior;Total;Centros públicos;2017-2018;10105
España;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;3622
España;FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;1638
España;FP Grado Medio;Hombres;Centros privados;2018-2019;1722
España;FP Grado Superior;Hombres;Todos los centros;2018-2019;9793
España;FP Básica;Hombres;Todos los centros;2017-2018;308
España;FP Grado Superior;Total;Centros públicos;2016-2017;8998
España;FP Grado Medio;Total;Centros privados;2017-2018;2384
España;Total FP;Total;Centros públicos;2016-2017;14354
España;FP Básica;Mujeres;Centros privados;2016-2017;36
España;FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;2334
España;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;8631
España;FP Grado Medio;Mujeres;Todos los centros;2018-2019;3379
España;FP Grado Superior;Mujeres;Centros públicos;2018-2019;4724
España;FP Grado Medio;Total;Todos los centros;2018-2019;9428
España;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;6410
España;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;5945
España;FP Básica;Total;Centros públicos;2016-2017;173
España;Total FP;Total;Todos los centros;2016-2017;20357
España;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;3027
España;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;9758
España;FP Grado Superior;Total;Centros privados;2016-2017;3523
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Total;Centros privados;2017-2018;0
Galicia;FP Básica;Hombres;Centros privados;2016-2017;0
Galicia;FP Grado Superior;Total;Centros privados;2015-2016;0
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;133
Galicia;FP Básica y Grado Medio;Total;Centros públicos;2016-2017;209
Galicia;FP Grado Superior;Mujeres;Todos los centros;2018-2019;213
Galicia;FP Grado Medio;Mujeres;Centros privados;2017-2018;0
Galicia;FP Básica;Mujeres;Todos los centros;2016-2017;19
Galicia;FP Básica;Hombres;Centros públicos;2016-2017;68
Galicia;FP Grado Medio;Mujeres;Centros públicos;2015-2016;29
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;746
Galicia;Total FP;Mujeres;Centros públicos;2018-2019;274
Galicia;FP Básica;Mujeres;Centros privados;2017-2018;0
Galicia;FP Básica;Mujeres;Todos los centros;2017-2018;15
Galicia;FP Grado Superior;Mujeres;Todos los centros;2015-2016;62
Galicia;FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;0
Galicia;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;0
Galicia;FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;0
Galicia;FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;232
Galicia;FP Básica;Total;Centros privados;2017-2018;0
Galicia;FP Básica;Hombres;Todos los centros;2016-2017;68
Galicia;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;296
Galicia;FP Básica;Hombres;Centros públicos;2017-2018;76
Galicia;FP Grado Superior;Total;Todos los centros;2016-2017;284
Galicia;FP Grado Medio;Total;Todos los centros;2016-2017;122
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;0
Galicia;Total FP;Hombres;Centros privados;2017-2018;0
Galicia;FP Grado Medio;Hombres;Todos los centros;2018-2019;225
Galicia;FP Básica y Grado Medio;Total;Centros públicos;2015-2016;119
Galicia;FP Grado Superior;Hombres;Centros privados;2018-2019;1
Galicia;FP Grado Medio;Mujeres;Centros privados;2016-2017;0
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;1
Galicia;Total FP;Total;Todos los centros;2017-2018;735
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;268
Galicia;FP Grado Superior;Hombres;Todos los centros;2018-2019;522
Galicia;FP Básica;Hombres;Todos los centros;2017-2018;76
Galicia;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;406
Galicia;FP Básica y Grado Medio;Mujeres;Centros privados;2015-2016;0
Galicia;FP Grado Superior;Hombres;Centros públicos;2015-2016;101
Galicia;FP Básica;Mujeres;Centros públicos;2018-2019;6
Galicia;FP Básica;Mujeres;Centros privados;2015-2016;0
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;406
Galicia;FP Básica y Grado Medio;Hombres;Centros públicos;2015-2016;90
Galicia;FP Básica;Hombres;Centros privados;2017-2018;0
Galicia;FP Básica;Mujeres;Centros privados;2016-2017;0
Galicia;FP Grado Medio;Hombres;Centros privados;2017-2018;0
Galicia;FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;0
Galicia;Total FP;Mujeres;Todos los centros;2018-2019;274
Galicia;FP Grado Superior;Hombres;Todos los centros;2017-2018;280
Galicia;Total FP;Total;Centros públicos;2015-2016;282
Galicia;FP Básica;Total;Todos los centros;2017-2018;91
Galicia;FP Grado Superior;Mujeres;Centros públicos;2018-2019;213
Galicia;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;64
Galicia;FP Grado Medio;Mujeres;Centros públicos;2016-2017;20
Galicia;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;241
Galicia;Total FP;Hombres;Todos los centros;2018-2019;763
Galicia;FP Básica;Total;Todos los centros;2015-2016;0
Galicia;FP Grado Superior;Mujeres;Centros públicos;2016-2017;113
Galicia;Total FP;Hombres;Centros privados;2016-2017;0
Galicia;FP Básica;Hombres;Centros públicos;2018-2019;16
Galicia;Total FP;Hombres;Centros privados;2018-2019;1
Galicia;FP Grado Medio;Mujeres;Todos los centros;2015-2016;29
Galicia;FP Básica y Grado Medio;Total;Centros privados;2016-2017;0
Galicia;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;170
Galicia;FP Básica;Total;Centros privados;2016-2017;0
Galicia;Total FP;Hombres;Todos los centros;2017-2018;512
Galicia;FP Básica;Mujeres;Todos los centros;2015-2016;0
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;208
Galicia;FP Grado Medio;Total;Centros públicos;2018-2019;280
Galicia;FP Básica;Total;Centros públicos;2016-2017;87
Galicia;FP Básica y Grado Medio;Total;Todos los centros;2015-2016;119
Galicia;Total FP;Total;Todos los centros;2015-2016;282
Galicia;FP Grado Medio;Total;Centros públicos;2016-2017;122
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2015-2016;91
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Mujeres;Centros públicos;2018-2019;55
Galicia;FP Grado Medio;Hombres;Centros privados;2016-2017;0
Galicia;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;644
Galicia;FP Grado Medio;Mujeres;Centros privados;2018-2019;0
Galicia;FP Grado Superior;Hombres;Centros públicos;2018-2019;521
Galicia;FP Grado Superior;Total;Todos los centros;2017-2018;439
Galicia;Total FP;Mujeres;Centros privados;2017-2018;0
Galicia;Total FP;Total;Centros públicos;2016-2017;493
Galicia;FP Grado Superior;Mujeres;Centros públicos;2015-2016;62
Galicia;FP Básica;Hombres;Centros públicos;2015-2016;0
Galicia;FP Grado Medio;Hombres;Todos los centros;2015-2016;90
Galicia;Total FP;Hombres;Centros públicos;2017-2018;512
Galicia;Total FP;Mujeres;Todos los centros;2017-2018;223
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;747
Galicia;FP Básica y Grado Medio;Total;Centros privados;2017-2018;0
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2015-2016;282
Galicia;FP Básica y Grado Medio;Total;Todos los centros;2016-2017;209
Galicia;Total FP;Hombres;Centros privados;2015-2016;0
Galicia;FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;61
Galicia;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;232
Galicia;FP Grado Superior;Total;Centros públicos;2015-2016;163
Galicia;Total FP;Total;Todos los centros;2016-2017;493
Galicia;FP Básica;Total;Centros privados;2015-2016;0
Galicia;Total FP;Total;Centros públicos;2017-2018;735
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;0
Galicia;FP Básica;Total;Centros públicos;2015-2016;0
Galicia;FP Grado Superior;Mujeres;Todos los centros;2017-2018;159
Galicia;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2015-2016;282
Galicia;FP Grado Medio;Total;Centros privados;2018-2019;0
Galicia;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;302
Galicia;Total FP;Total;Centros privados;2018-2019;1
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;0
Galicia;FP Básica y Grado Medio;Hombres;Centros privados;2015-2016;0
Galicia;FP Grado Superior;Total;Todos los centros;2015-2016;163
Galicia;Total FP;Mujeres;Centros públicos;2015-2016;91
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;0
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;1
Galicia;FP Grado Medio;Total;Centros públicos;2015-2016;119
Galicia;Total FP;Mujeres;Centros privados;2015-2016;0
Galicia;Total FP;Hombres;Centros públicos;2016-2017;341
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;133
Galicia;FP Grado Medio;Hombres;Todos los centros;2017-2018;156
Galicia;FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;0
Galicia;FP Grado Superior;Total;Centros privados;2016-2017;0
Galicia;FP Básica;Hombres;Todos los centros;2015-2016;0
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Hombres;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Hombres;Centros públicos;2017-2018;156
Galicia;FP Grado Medio;Hombres;Centros públicos;2016-2017;102
Galicia;FP Grado Superior;Total;Todos los centros;2018-2019;735
Galicia;FP Grado Medio;Total;Centros públicos;2017-2018;205
Galicia;Total FP;Mujeres;Todos los centros;2015-2016;91
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;273
Galicia;Total FP;Mujeres;Centros privados;2016-2017;0
Galicia;FP Grado Superior;Total;Centros públicos;2018-2019;734
Galicia;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;61
Galicia;FP Grado Superior;Mujeres;Centros privados;2018-2019;0
Galicia;FP Grado Medio;Mujeres;Centros privados;2015-2016;0
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;436
Galicia;FP Básica;Total;Todos los centros;2016-2017;87
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;0
Galicia;Total FP;Total;Centros privados;2016-2017;0
Galicia;FP Grado Superior;Total;Centros privados;2018-2019;1
Galicia;FP Básica;Total;Todos los centros;2018-2019;22
Galicia;FP Básica;Mujeres;Centros públicos;2015-2016;0
Galicia;FP Grado Medio;Hombres;Centros públicos;2018-2019;225
Galicia;FP Básica y Grado Medio;Mujeres;Centros públicos;2015-2016;29
Galicia;FP Grado Medio;Mujeres;Todos los centros;2018-2019;55
Galicia;FP Básica;Hombres;Centros privados;2015-2016;0
Galicia;Total FP;Mujeres;Centros públicos;2017-2018;223
Galicia;FP Básica;Total;Centros públicos;2018-2019;22
Galicia;Total FP;Mujeres;Centros privados;2018-2019;0
Galicia;FP Básica y Grado Medio;Hombres;Todos los centros;2015-2016;90
Galicia;FP Básica y Grado Medio;Total;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Mujeres;Todos los centros;2016-2017;20
Galicia;FP Grado Medio;Hombres;Centros privados;2018-2019;0
Galicia;FP Grado Superior;Hombres;Todos los centros;2016-2017;171
Galicia;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;241
Galicia;FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;0
Galicia;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;64
Galicia;FP Básica;Hombres;Todos los centros;2018-2019;16
Galicia;FP Grado Medio;Hombres;Todos los centros;2016-2017;102
Galicia;Total FP;Total;Centros privados;2017-2018;0
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;208
Galicia;FP Básica y Grado Medio;Total;Centros privados;2018-2019;0
Galicia;FP Grado Medio;Total;Todos los centros;2017-2018;205
Galicia;FP Grado Superior;Hombres;Centros privados;2015-2016;0
Galicia;Total FP;Total;Centros públicos;2018-2019;1036
Galicia;FP Grado Superior;Hombres;Centros privados;2017-2018;0
Galicia;FP Básica;Mujeres;Todos los centros;2018-2019;6
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;0
Galicia;FP Grado Medio;Total;Centros privados;2015-2016;0
Galicia;Total FP;Total;Centros privados;2015-2016;0
Galicia;FP Grado Medio;Total;Centros privados;2016-2017;0
Galicia;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;296
Galicia;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;1015
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2015-2016;91
Galicia;FP Grado Superior;Total;Centros privados;2017-2018;0
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2015-2016;191
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;0
Galicia;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;39
Galicia;FP Grado Superior;Mujeres;Todos los centros;2016-2017;113
Galicia;FP Básica;Total;Centros públicos;2017-2018;91
Galicia;FP Grado Superior;Mujeres;Centros privados;2016-2017;0
Galicia;FP Básica;Mujeres;Centros públicos;2016-2017;19
Galicia;FP Grado Medio;Hombres;Centros públicos;2015-2016;90
Galicia;FP Grado Medio;Total;Todos los centros;2015-2016;119
Galicia;Total FP;Hombres;Centros públicos;2018-2019;762
Galicia;Total FP;Total;Todos los centros;2018-2019;1037
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;273
Galicia;Total FP;Mujeres;Todos los centros;2016-2017;152
Galicia;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;302
Galicia;FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;39
Galicia;FP Grado Superior;Hombres;Centros privados;2016-2017;0
Galicia;FP Grado Superior;Hombres;Centros públicos;2016-2017;171
Galicia;FP Básica;Mujeres;Centros públicos;2017-2018;15
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;436
Galicia;FP Básica;Mujeres;Centros privados;2018-2019;0
Galicia;FP Básica;Total;Centros privados;2018-2019;0
Galicia;FP Grado Superior;Total;Centros públicos;2016-2017;284
Galicia;Total FP;Hombres;Todos los centros;2016-2017;341
Galicia;FP Grado Superior;Total;Centros públicos;2017-2018;439
Galicia;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;170
Galicia;FP Básica;Hombres;Centros privados;2018-2019;0
Galicia;FP Grado Superior;Mujeres;Centros privados;2017-2018;0
Galicia;FP Grado Superior;Mujeres;Centros públicos;2017-2018;159
Galicia;FP Grado Superior;Hombres;Centros públicos;2017-2018;280
Galicia;Total FP;Mujeres;Centros públicos;2016-2017;152
Galicia;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2015-2016;191
Galicia;FP Básica y Grado Medio;Mujeres;Todos los centros;2015-2016;29
Galicia;FP Grado Medio;Mujeres;Centros públicos;2017-2018;49
Galicia;FP Grado Superior;Mujeres;Centros privados;2015-2016;0
Galicia;Total FP;Hombres;Centros públicos;2015-2016;191
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;644
Galicia;FP Grado Superior;Hombres;Todos los centros;2015-2016;101
Galicia;Total FP;Hombres;Todos los centros;2015-2016;191
Galicia;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;268
Galicia;FP Grado Medio;Mujeres;Todos los centros;2017-2018;49
Galicia;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;1014
Galicia;FP Grado Medio;Total;Todos los centros;2018-2019;280
Asturias;FP Grado Superior;Mujeres;Centros privados;2018-2019;24
Asturias;FP Grado Superior;Hombres;Centros públicos;2018-2019;18
Asturias;FP Grado Medio;Mujeres;Centros privados;2015-2016;3
Asturias;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;8
Asturias;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;32
Asturias;Total FP;Hombres;Todos los centros;2018-2019;56
Asturias;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;2
Asturias;FP Grado Medio;Total;Centros privados;2016-2017;29
Asturias;FP Grado Superior;Hombres;Todos los centros;2015-2016;82
Asturias;Total FP;Hombres;Todos los centros;2017-2018;87
Asturias;FP Grado Medio;Total;Todos los centros;2015-2016;111
Asturias;Total FP;Mujeres;Todos los centros;2018-2019;53
Asturias;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;150
Asturias;Total FP;Total;Centros privados;2015-2016;66
Asturias;FP Grado Medio;Mujeres;Centros públicos;2017-2018;2
Asturias;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;45
Asturias;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;12
Asturias;FP Básica;Mujeres;Centros privados;2017-2018;0
Asturias;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;30
Asturias;Total FP;Total;Centros públicos;2015-2016;181
Asturias;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;9
Asturias;FP Grado Superior;Hombres;Centros privados;2018-2019;20
Asturias;FP Grado Superior;Total;Centros públicos;2016-2017;117
Asturias;FP Grado Medio;Hombres;Centros privados;2015-2016;21
Asturias;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;79
Asturias;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;53
Asturias;FP Grado Medio;Hombres;Centros públicos;2018-2019;6
Asturias;FP Grado Superior;Hombres;Centros públicos;2016-2017;71
Asturias;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;75
Asturias;FP Grado Medio;Mujeres;Centros públicos;2016-2017;18
Asturias;Total FP;Mujeres;Centros públicos;2015-2016;67
Asturias;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;12
Asturias;FP Grado Superior;Hombres;Centros públicos;2015-2016;48
Asturias;Total FP;Total;Centros públicos;2017-2018;45
Asturias;FP Grado Superior;Total;Centros públicos;2017-2018;16
Asturias;FP Grado Medio;Total;Centros públicos;2017-2018;29
Asturias;FP Básica;Hombres;Todos los centros;2018-2019;0
